4UBS062C040606000200B2,"5/8-11 X 6.00'' SQUARE BEND U-BOLT  PLAIN   C1018
C=4.06''     L=6.00''     T=2.00''     R=.50",4UBS
4UBS062C040607500250B5,"5/8-11 X 7.50'' SQUARE BEND U-BOLT  PLAIN  C1541
C=4.06'' (I.D.)          L=7.50'' (I.D.)         T=2.50''         R=.37",4UBS
4UBS062C040609750650B5,"5/8-11 X 9.75'' SQUARE BEND U-BOLT  PLAIN  C1541
C=4.06'' (I.D.)         L=9.75'' (I.D.)        T=6.50''       R=.50

**PITCH DIA. -- ROLLED THREAD**

**PER PRINT**",4CUST
4UBS062C041204500200Z5,"5/8-11 X 4.50'' SQUARE BEND U-BOLT  ZINC  C1541
C=4.12'' (I.D.)        L=4.50'' (I.D.)       T=2.00''      R=.31",4UBS
4UBS062C041206500125Z2,"5/8-11 X 6.50'' SQUARE BEND U-BOLT YELLOW ZINC C1018
C=4.12''     L=6.50''     T=1.25''     R=.62",4UBS
4UBS062C041207500150YZ5,"5/8-11 X 7.50'' SQUARE BEND U-BOLT  YELLOW ZINC  C1541
C=4.12'' (I.D.)          L=7.50'' (I.D.)         T=1.50''         R=.31

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS062C041209620150YZ2,"5/8-11 X 9.62'' SQUARE BEND U-BOLT  YELLOW ZINC  C1018
C=4.12'' (I.D.)           L=9.62'' (I.D.)            T=1.50''         R=.62

**QUOTED TOL. -- +/- .060**",4UBS
4UBS062C041209620150YZ5,"5/8-11 X 9.62'' SQUARE BEND U-BOLT  YELLOW ZINC  C1541
C=4.12'' (I.D.)           L=9.62'' (I.D.)            T=1.50''         R=.62

**QUOTED TOL. -- +/- .060**",4UBS
4UBS062C050607000200B5,"5/8 X 7.00'' SQUARE BEND U-BOLT PLAIN C1541
C=5.06'' (I.D.)     L=7.00'' (I.D.)     T=2.00''     R=.38",4UBS
4UBS062C050607000200Z5,"5/8 X 7.00'' SQUARE BEND U-BOLT ZINC C1541
C=5.06'' (I.D.)     L=7.00'' (I.D.)     T=2.00''     R=.38",4UBS
4UBS062C051207500300B2,"5/8X 7.50'' SQUARE BEND U-BOLT  PLAIN  C1018
C=5.12'' (I.D.)         L=7.50'' (I.D.)         T=3.00''         R=.38",4UBS
4UBS062C051207500300Z2,"5/8-11 X 7.50'' SQUARE BEND U-BOLT  ZINC  C1018
C=5.12'' (I.D.)         L=7.50'' (I.D.)         T=3.00''       R=.62",4UBS
4UBS062C051209000450Z2,"5/8-11 X 9.00'' SQ BEND U-BOLT ZINC 1018
C=5.12''     L=9.00''     T=4.50''     R=.50''",4UBS
4UBS062C055002000000BH,"5/8'' X 2.00'' LIFT HANDLE  PLAIN  C1018
C=5.50'' (I.D.)         L=2.00'' (I.D.)       T=NONE    R=.50

**FULL DIA.**",4UBS
4UBS062C056309530200B2,"5/8-11 SQUARE BEND U-BOLT, 1018 STEEL, PLAIN FINISH
C= 5.63''     L= 9.53''     T= 2.00''",4UBS
4UBS062C056311890200B2,"5/8-11 SQUARE BEND U-BOLT, 1018 STEEL, PLAIN FINISH
C= 5.63''     L= 11.89''     T= 2.00''",4UBS
4UBS062C060007500150Z2,"5/8-11 X 7.50''  SQUARE BEND U-BOLT ZINC 1018
C=6.00''     L=7.50''     T=1.50''     R=.50",4UBS
4UBS062C070010000300G2,"5/8-11 X 10.00'' SQUARE BEND U-BOLT HDG C1018
C=7.00''     L=10.00''     T=3.00''     R=.50",4UBS
4UBS062C070608500175Z2,"5/8-11 X 8.50'' SQUARE BEND U-BOLT  ZINC  C1018
C=7.06''     L=8.50''     T=1.75''     R=.50",4UBS
4UBS062C071208000400Z2,"5/8-11 X 8.00'' SQ BEND U-BOLT ZINC 1018
C=7.12''     L=8.00''     T=4.00''     R=.50''",4UBS
4UBS062C079306620237B5,"5/8-11 X 6.62'' SQUARE BEND U-BOLT  PLAIN  C1541
C=7.09'' (I.D.)          L=6.62'' (I.D.)         T=2.37''       R=.37

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS062C079306620237Z5,"5/8-11 X 6.62'' SQUARE BEND U-BOLT  ZINC  C1541
C=7.09'' (I.D.)          L=6.62'' (I.D.)         T=2.37''       R=.37

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS062C080014000300B5,"5/6-11 X 14.00'' SQUARE BEND U-BOLT  PLAIN  C1541
C=8.00'' (I.D.)          L=14.00'' (I.D.)         T=3.00''        R=.50",4UBS
4UBS062C080614000500Z,"5/8-11 X 14'' SQUARE BEND U-BOLT  ZINC  C1018
C=8.06'' (I.D.)        L=14.00'' (I.D.)         T=5.00''       R=.62",4UBS
4UBS075C020016870450B2,"3/4-10 X 16.87'' ROUND BEND U-BOLT  PLAIN  C1541 (GR. 5)
C=2.00'' (I.D.)        L=16.87'' (I.D.)       T=4.50''",4UBR
4UBS075C021208000400Z2,"3/4-10 X 8.00'' SQ BEND U-BOLT ZINC 1018
C=2.12''     L=8.00''     T=4.00''     R=.62''",4UBS
4UBS075C030018000600BH,"3/4-10 X 18.00'' SQUARE BEND U-BOLT  PLAIN  1554-55
C=3.00'' (I.D.)         L=18.00'' (I.D.)       T=6.00''    R=.50",4UBS
4UBS075C040006000200Z2,"3/4-10 X 6.00'' SQUARE BEND U-BOLT ZINC C1018
C=4.00''     L=6.00''     T=2.00''     R=.50",4UBS
4UBS075C040007500150B2,"3/4-10 X 7.50'' SQUARE BEND U-BOLT  PLAIN  C1018
C=4.00'' (I.D.)         L=7.50'' (I.D.)          T=1.50''",4UBS
4UBS075C040013250500Z2,"3/4-10 X 13.25'' SQUARE BEND U-BOLT ZINC 1018
C=4.00'' (I.D.)     L=13.25'' (I.D.)     T=5.00''     R=.625

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C040013250600B2,"3/4-10 X 13.25'' SQUARE BEND U-BOLT PLAIN C1018
C=4.00''     L=13.25''     T=6.00''",4UBS
4UBS075C040022000300Z2,"3/4-10 X 22.00'' SQUARE BEND U-BOLT ZINC 1018
C=4.00'' (I.D.)     L=22.00'' (I.D.)     T=3.00''     R=.625

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C040605500175Z5,"3/4-10 X 5.50'' SQUARE BEND U-BOLT  ZINC  C1541
C=4.06'' (I.D.)         L=5.50'' (I.D.)        T=1.75''     R=.62",4UBS
4UBS075C040606060200Z2,"3/4-10 X 6.06'' SQUARE BEND U-BOLT  ZINC  C1018
C=4.06'' (I.D.)         L=6.06'' (I.D.)         T=2.00''         R=.62

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075C040608060200Z2,"3/4-10 X 8.06'' SQUARE BEND U-BOLT  ZINC  C1018
C=4.06'' (I.D.)          L=8.06'' (I.D.)            T=2.00''         R=.62

**QUOTE TOL. -- +/- .060**

**PER PRINT**",
4UBS075C040615750500Z2,"3/4-10 X 15.75'' SQUARE BEND U-BOLT ZINC 1018
C=4.06'' (I.D.)     L=15.75'' (I.D.)     T=5.00''     R=.625

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C041205500125Z2,"3/4-10 X 5.50'' SQUARE BEND U-BOLT YELLOW ZINC C1018
C=4.12''     L=5.50''     T=1.25''     R=.75",4UBS
4UBS075C041220000800Z5,"3/4-10 X 20.00'' SQUARE BEND U-BOLT ZINC C1541
C=4.12''     L=20.00''     T=8.00''     R=.75",4UBS
4UBS075C042514500250GH,"3/4-10 X 14.50'' SQUARE BEND U-BOLT HDG 1554-55
C=4.25'' (I.D.)     L=14.50'' (I.D.)     T=2.50''",4UBR
4UBS075C045002250000BH,"3/4-10 X 2.25'' SQUARE BEND U-BOLT PLAIN 1554-55
C=4.50'' (I.D.)     L=2.25'' (I.D.)     T=NO THREAD",4UBS
4UBS075C050007000200Z2,"3/4-10 X 7.00'' SQUARE BEND U-BOLT  ZINC  C1018
C=5.06'' (I.D.)       L=7.00'' (I.D.)       T=2.00''       R=.37

**QUOTED TOL: +/- .062**",4UBS
4UBS075C055004250125B5,"3/4-10 SQUARE BEND U-BOLT, 1541 STEEL (GR 5), PLAIN FINISH
C= 5.50''     L= 4.25''     T= 1.25''",4UBS
4UBS075C060006060200Z2,"3/4-10 X 6.06'' SQUARE BEND U-BOLT  ZINC  C1018
C=6.00'' (I.D.)         L=6.06'' (I.D.)        T=2.00''       R=.62

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075C060008500150B5,"3/4-10 X 8.50'' SQUARE BEND U-BOLT  PLAIN  C1541
C=6.00'' (I.D.)          L=8.50'' (I.D.)        T=1.50''        R=.62

**QUOTED TOL. -- +/- .060**",4UBS
4UBS075C060606060200Z2,"3/4-10 X 6.06'' SQUARE BEND U-BOLT  ZINC  C1018
C=6.06'' (I.D.)          L=6.06'' (I.D.)        T=2.00''       R=.62

**QUOTED TOL. -- +/- .060**

**PER PRINT**",
4UBS075C061203620150B5,"3/4-10 X 6.12'' SQUARE BEND U-BOLT PLAIN 1541
C=6.12'' (I.D.)     L=3.62'' (I.D)     T=1.50''     R=.50",4UBS
4UBS075C065017000600GH,"3/4-10 X 17.00'' ROUND BEND U-BOLT  HDG  1554-55
C=6.50'' (C.D.)        L=17.00'' (O.D.)       T=6.00''",4UBR
4UBS075C070607000200Z5,"3/4-10 X 7.00'' SQUARE BEND U-BOLT  ZINC  C1541
C=7.06'' (I.D.)       L=7.00'' (I.D.)       T=2.00''        R=.37

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075C070609000250Z2,"3/4-10 X 9.00'' SQUARE BEND U-BOLT ZINC C1018
C=7.06'' (I.D.)     L=9.00'' (I.D.)     T=2.50''     R=0.50

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C070610060200Z2,"3/4-10 X 10.06'' SQUARE BEND U-BOLT  ZINC  C1018
C=7.06'' (I.D.)           L=10.06'' (I.D.)          T=2.00''         R=.62

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075C071209000200Z5,"3/4-10 X 9.00'' SQUARE BEND U-BOLT  ZINC  C1541
C=7.12'' (I.D.)       L=9.00'' (I.D.)       T=2.00''        R=.75
(USED ON 7.00 x 7.00 BAR)

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075C071209000250Z2,"3/4-10 X 9.00'' SQUARE BENT U-BOLT  ZINC  C1018
C=7.12''     L=9.00''     T=2.50''     R=.50",4UBS
4UBS075C071209430200B2,"3/4-10 SQUARE BEND U-BOLT, 1018 STEEL, PLAIN FINISH
C= 7.12     L= 9.43''     T= 2.00''",4UBS
4UBS075C07120943B2,"3/4-10 SQUARE BEND U-BOLT, 1018 STEEL, PLAIN FINISH
C= 7.12     L= 9.43''     T= 2.00''",4UBS
4UBS075C081204120150Z2,"3/4-10 X 4.12'' SQUARE BEND U-BOLT ZINC C1018
C=8.12'' (I.D.)     L=4.12'' (I.D.)     T=1.50''     R=.62

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C081204120150Z5,"3/4-10 X 4.12'' SQUARE BEND U-BOLT ZINC C1541
C=8.12'' (I.D.)     L=4.12'' (I.D.)     T=1.50''     R=.56

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS075C082519250200G2,"3/4-10 X 19.25'' SQUARE BEND U-BOLT  HDG  C1018
C=8.25'' (I.D.)          L=19.25'' (I.D.)          T=2.00''        R=.62

**QUOTED TOL. -- +/- .060**",4UBS
4UBS075C100014000200G5,"3/4-10 X 14.00'' SQUARE BEND U-BOLT 1541 HDG
C=10.00     L=14.00     T=2.00",4UBS
4UBS075C145002250000BH,"3/4-10 X 2.25'' SQUARE BEND U-BOLT PLAIN 1554-55
C=14.50'' (I.D.)     L=2.25'' (I.D.)     T=NO THREAD",4UBS
4UBS075C305002250000BH,"3/4-10 X 2.25'' SQUARE BEND U-BOLT PLAIN 1554-55
C=30.50'' (I.D.)     L=2.25'' (I.D.)     T=NO THREAD",4UBS
4UBS075CTEST,"3/4-10 X 8.75'' SQUARE BEND U-BOLT  ZINC  C1541
C=7.12'' (I.D.)    L=8.50'' (I.D.)    T=2.50''     R=0.75

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4UBS075F037530750762BH,"3/4-16 X 30.75'' SQUARE BEND U-BOLT  PLAIN  A36
C=3.75'' (I.D.)          L=30.75'' (I.D.)         T=7.62''

**FULL DIA. -- CUT THREAD**",4UBS
4UBS087C051216120400BH,"7/8-9 X 16.12'' SQUARE BEND U-BOLT PLAIN 1554-55
C=5.12''     L=16.12''     T=4.00''     R=.75",4UBS
4UBS087C060008000200B5,"7/8-9 SQUARE BEND U-BOLT, PLAIN FINISH, GR5 MATERIAL
C= 6.00''     L= 8.00''     T= 2.00'' 
(ALL DIMENSIONS ARE MEASURED FROM THE INSIDE OF U-BOLT)",4UBS
4UBS087C060612500250Z2,"7/8-9 X 12.50'' SQUARE BEND U-BOLT ZINC C1018
C= 6.06'' (I.D.)     L=12.50'' (I.D.)     T=2.50''     R=0.50

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS087C068720000600BH,"7/8-9 X 20.00'' SQUARE BEND U-BOLT PLAIN C1541
C=6.87''     L=20.00''     T=6.00''     R=1.00''

**MATERIAL IS EQUAL TO GRADE 5 - PITCH DIAMETER WITH ROLLED THREADS**",4UBS
4UBS087C070609250250Z2,"7/8-9 X 9.25'' SQUARE BEND U-BOLT ZINC C1018
C=7.06'' (I.D.)     L=9.25'' (I.D.)     T=2.50''     R=0.50

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS087C071210620400B2,"7/8-9 X 10.62'' SQUARE BEND U-BOLT PLAIN C1018
C=7.12'' (I.D.)     L=10.62'' (I.D.)     T=4.00''     R=.75

**PITCH DIAMETER RAW MATERIAL WITH ROLLED THREADS**",4UBS
4UBS087C071210620400BH,"7/8-9 X 10.62'' SQUARE BEND U-BOLT PLAIN
C=7.12''     L=10.62''     T=4.00''     R=.75",4UBS
4UBS087C071210680400B2,"7/8-9 X 16.80'' SQUARE BEND U-BOLT  PLAIN  C1018
C=7.12'' (I.D.)            L=10.68'' (I.D.)           T=4.00''          R.75",4UBS
4UBS087C071215120400BH,"7/8-9 X 15.12'' SQUARE BEND U-BOLT PLAIN 1554-55
C=7.12''     L=15.12''     T=4.00''     R=.75",4UBS
4UBS087C071216120400BH,"7/8-9 X 16.12'' SQUARE BEND U-BOLT PLAIN 1018
C=7.12''     L=16.12''     T=4.00''     R=.75",4UBS
4UBS087C071216120600G2,"7/8-9 X 16.12'' SQUARE BEND U-BOLT  HDG  C1018
C=7.12'' (I.D.)         L=16.12'' (I.D.)       T=6.00''         R=.75

**PER PRINT**",4UBS
4UBS087C071217000400B2,"7/8-9 X 17.00'' SQUARE BEND U-BOLT  PLAIN  C1018
C=7.12'' (I.D.)         L=17.00'' (I.D.)         T=4.00''          R=.62",4UBS
4UBS087C080017000400BH,"7/8-9 X 17.00'' SQUARE BEND U-BOLT  PLAIN  A36
C=8.00'' (C.L)         L=17.00'' (O.D.)        T=4.00''        R=.87",
4UBS087C102516000300BH,"7/8-9 X 16.00'' SQUARE BEND U-BOLT  PLAIN  C1018
C= 13.25''         L= 16.00''         T= 3.00''",4UBS
4UBS100C070009000300B5,"1-8 X 9.00'' SQUARE BEND U-BOLT  PLAIN  C1541
C=7.00''        L=9.00''         T=3.00''        R=.75",4UBS
4UBS100C070011000300B2,"1-8 X 11.00'' SQUARE BEND U-BOLT  PLAIN  C1018
C=7.00'' (I.D.)         L=11.00'' (I.D.)           T=3.00''

**QUOTED TOL. -- +/- .060**",4UBS
4UBS100C077517000600Z2,"1-8 X 17.00'' SQUARE BEND U-BOLT  ZINC  C1018
C=7.75''          L=17.00''         T=6.00''        R=.75",4UBS
4UBT031C023703370200Z2,"5/16-18 X 6.75'' TRI-BEND BEND U-BOLT ZINC 1018
C=2.37'' (I.D.)     OAL=4.12'' (I.D.)     LL=3.37''     T=2.00''",4UBR
4UBT062C041205000250B5,"5/8-11 X 5.00'' TRI-BEND U-BOLT  PLAIN  C1541
C=4.12'' (I.D.)        L=5.00'' (I.D.)      T=2.50''      R=.62 

**PITCH DIA. -- ROLLED THREAD**

**PER PRINT**",4UBT
4UBT062C041205000250Z5,"5/8-11 X 5.00'' TRI-BEND U-BOLT  ZINC  C1541
C=4.12'' (I.D.)        L=5.00'' (I.D.)      T=2.50''      R=.62 

**PITCH DIA. -- ROLLED THREAD**

**PER PRINT**",4UBT
4UN-000016,1/2'' x .875 SPACER ZINC 1018,4CNC
4UN-22120,"5/16-18 X 3.00'' SQUARE BEND U-BOLT ZINC C1018
C=2.03''     L=3.00''     T=1.50''     R=.25",4UBS
4UN-30666,"3/4-6 ACME HVY HEX JAM NUT ZINC (1 1/4 AF, 7/16 THICK)",4FAST
4UN-30670,3/4-6 HVY ACME SQUARE NUT ZINC 1 1/4'' AF   3/4'' THICK,4FAST
4UN-30672,1-5 ACME RH HVY HEX NUT ZINC,4FAST
4UN-30675,"1-5 ACME HVY HEX JAM NUT ZINC (1 5/8 AF, 9/16 THICK)",4FAST
4UN-30722,"3/4-10 x 12'' HEX HEAD FULL THREAD BOLT BRIGHT ZINC

NO WELD SPATTER ON NUT OR THREADS",4FTS
4UN-35613,5/8-8 x 11 7/8'' ACME TAKE-UP BOLT ZINC 1018,4ACME
4UN-35615,"3/4-6 x 9 1/2'' ACME TAKE UP BOLT ZINC 1018  W/NUT WELDED ON ONE END
1) 4UN-35615NUT - 3/4-6 SPECIAL JAMB NUT, The nuts must be cleaned in corn cobs prior to welding",4ACME
4UN-35615NUT,3/4-6 ACME HEX NUT SPECIAL - PLAIN  1/2-THICK 1-1/8 ACROSS FLAT,4CUST
4UN-35616,"3/4-6 x 14'' TAKE UP BOLT U2 ZINC 1018    1) 4NUT075ACHBRH - 3/4-6 HVY ACME NUT WELDED-NO WELD SPLATTER ON THE NUT OR THREADS, the nuts also need to be cleaned in corn cobs prior to welding",4ACME
4UN-35619,"1-5 ACME-2G X 19'' LONG HEX HD BOLT ZINC 1018
INCLUDES:
1) 4NUT100ACHBRH -- 1-5 HVY ACME NUT WELDED
    (FOR ABOVE WELD)

**NO WELD SPLATTER ON THE NUT OR IN THE THREADS**nuts must be cleaned in corn cobs prior to welding",4ACME
4UN-35620,3/4-6 ACME-2G x 30'' LONG HEX HD BOLT BRIGHT ZINC,4ACME
4UN-4746022120,3/4-10 x 7-5/8'' SQUARE BEND U-BOLT ZINC 1018    C=6 1/16''    L=7 5/8''    T=2.00,4UBS
4UN-53201,5/8-11 x 22-1/6'' TAKE-UP BOLT - WLD - S-DRIVE ZINC 1018,4FTS
4UN-55773,3/4-10 x 10 3/4'' CLOSED EYE BOLT 1541 ZINC     C=1 1/2''    L=10 3/4''    T=6 1/2'' USABLE,4EBC
4UN-57106,1-8 x 5 5/16'' SQUARE BEND U-BOLT 1018 MATERIAL ZINC    C=6 1/8''    L=5 5/16''    T= 2.00,4UBS
4UN-ABH100C5412BH-P,1-8 x 54'' HEADED ANCHOR BOLT PLAIN 1554-105 ( B7 )    T=12.00    T=6.00 JAM NUT AND ROUND WASHER TACKED,4ABH
4UN-ACME0750300SS,3/4-6 x 30'' STAINLESS STEEL 18-8 ACME THREADED ROD,4ACME
4VA-0161366,"3/8-16 X 7.00'' HOOK BOLT  PLAIN  304 STAINLESS STEEL
C=1.00''     L=6.62''     T=3.88''

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4EBO
4VA-1732254,"1/2-13 X 10.53'' ROUND BEND U-BOLT  ZINC  C1018
C=12.06'' (I.D.)       L=10.53'' (I.D.)        T=2.00''

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBR
4VA-175005,"3/8-16 X 4.00'' ROUND BEND U-BOLT  YELLOW ZINC  C1018
C=3.00''     L=4.00''     T=1.25''

**QUOTED TOL. -- +/- .060** 

**PER PRINT**

**150/BOX**",4UBR
4VA-1750901,".312  AGM-RD-ROD, LONG SPRINKLER BOX, ZINC YELLOW 1018
C=1.25     L=23.81 INSIDE     T=4.00 

TWO .125 DIAMETER HOLES 

DEBURR END",4CUST
4VA-1750902,"5/16 X 13.00 AGM-RD-ROD SHORT SPRINKLER BOX 
YELLOW ZINC    1018
C=1.562     L=13.312     T=4.00   LEFT HAND",4CUST
4VA-1750902B,"5/16 X 13.00 AGM-RD-ROD SHORT SPRINKLER BOX 
PLAIN  1018
C=1.562     L=13.312     T=4.00   LEFT HAND",4CUST
4VA-1750985,".375 ANGLE SENSOR ROD  YELLOW ZINC  C1018

ZINC TO ASTM 633-85 TYPE SC3

**PER PRINT**",4CUST
4VA-176013,"(Revision: C) 3/8-16 X 3.12'' ROUND BEND U-BOLT  YELLOW ZINC  C1018
C=2.50''     L=3.12''     T=1.25''

**PER PRINT**

**150pcs/BOX**",4UBR
4VA-176035,"3/8-16 X 1.75'' ROUND BEND U-BOLT  YELLOW ZINC  C1018
C=0.94''     L=1.75''     T=1.00''

**QUOTED TOL. -- +/- .060** 

**PER PRINT**

**450/BOX**",4UBR
4VA-176048,"3/4-10 X 7.00'' SQUARE BEND U-BOLT  ZINC  C1018
C=5.25''     L=7.00''     T=2.00''       R=.38

**QUOTED TOL. -- +/- .060**

**PER PRINT**

**650/BOX -  APPROX**",4UBS
4VA-176049,"5/16-18 X 2.19'' ROUND BEND U-BOLT   YELLOW ZINC   C1018
C=1.00''     L=2.19''     T=1.38''

**NEW TOL. -- +.060/-0.00**

**PER PRINT**

**500pcs/BOX**",4UBR
4VA-176053,"(Revision: 20501A) 3/8-16 X 3.00'' SQUARE BEND U-BOLT  ZINC  C1018
C=2.00''     L=3.00''     T=1.50''     R=.37

**PER PRINT**

**250pcs/BOX**",4UBS
4VA-176070,"3/8-16 X 2.12'' SQUARE BEND U-BOLT  YELLOW ZINC  C1018
C=1.38'' (I.D.)           L=2.12'' (I.D.)           T=1.25''           R=.19

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
4VA-1781244,"3/4 ROUND BEND U-BOLT  PLAIN  A36
**NO THREAD**

**PER PRINT**",4UBR
4VA-1781277,"1/2-13 X 8.87'' ROUND BEND U-BOLT  YELLOW ZINC  C1018
C=6.62''     L=8.87''     T=1.50''

**QUOTED TOL. +/- .060**

**PER PRINT**",4UBR
4VA-2301C-F,3/4-4 1/2 x 10.12'' COIL ALL THREAD PLAIN C1045    WITH 3/16 GROVE ONE END  -  PER PRINT,4COIL
4VA-998156,"1-8 X 6'' SINGLE END STUD  PLAIN  304 STAINLESS
L=6.00''         T=2.25'' (R.H. THREAD)
w/.063 X 45 DEGREE MINIMUM CHAMFER

**FULL DIA. -- CUT THREAD**

**PER PRINT**",4SES
4VE-ABH050C1805B2-NW,1/2-13 x 18'' HEADED ANCHOR BOLT PLAIN 1018   T=5.00     T=1.00 TWO HHN AND 1 FW TACK,4ABH
4VE-ABH075C1806BH-NW,"3/4-10 x 18'' HEADED ANCHOR BOLT PLAIN 1554-55
T=6.00      T=3.00 TWO NUTS AND ONE FW TACK",4ABH
4VE-ABH075C2506GH-W,3/4-10 x 25 1/2'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=6.00    T=1.00 HHN AND FW TACK,4ABH
4VE-ABH100C2506GH,1-8 x 25 1/2'' HEADED ANCHOPR BOLT HOT DIP GALVANIZED 1554-55    T=6.00    T=1.00 HHN TACK,4ABH
4VE-ABH100C2506GH-W,1-8 x 25 1/2'' HEADED ANCHOR BOLT HOT DIP GALVANIZED 1554-55    T=6.00    T=1.00 HHN AND FW TACK,4ABH
4VI-002,"1/2-13 X 5.50'' TRI-BEND U-BOLT PLAIN 1018
C=3.50''     OAL=5.50''      LEG LENGTH=3.25''     T=2.00''     R1=.75     R2=.375",4UBS
4VI-003,3/8-16 x 8'' SQUARE BEND U-BOLT ZINC 1018    C=2.12      L=8.00      T=2.00,4UBS
4VI-007,"3/8-16 X 9.50'' SQUARE BEND U-BOLT ZINC 1018
C=2.56''     L=9.50''     T=3.00''",4UBS
4VI-075ACZ,3/4-6 x 41'' ACME ROD WASHER WELDED-TWO FLATS-TWO HOLES-HEX ON END ZINC 1018,4ACME
4VI-AATSAJBOLT,"3/8-16 x 4.50'' ROUND BEND J-BOLT ZINC 1018
C=.625''     L=4.50''     T=2.00''     D=.875",4JBR
4VI-DETAIL6,"1/2-13 SQUARE BEND U-BOLT, 1018 STEEL, ZINC PLATED
C=4.50     L=5.88     T=2.00

(DIMENSIONS MEASURED TO INSIDE OF U-BOLT LEGS)
PER PRINT",4UBS
4VI-DETAIL7,"5/16-18 SQUARE BEND U-BOLT, 1018 STEEL, ZINC PLATED
C=4.56      L=5.65      T=1.37

(DIMENSIONS MEASURED TO INSIDE OF U-BOLT LEGS)
PER PRINT",4UBS
4VI-DETAIL8,"3/8'' X 1.00'' X 6.00'' PLATE WASHER, A-36 STEEL, PLAIN FINISH
WITH 2 EA  3/8'' HOLES PUNCHED

PER PRINT",4CUST
4VI-UBR050C046207750300SS,1/2-13 x 7.75'' ROUND BEND U-BOLT 304 STAINLESS  C=4-5/8     L=7-3/4      T=3.00,4UBR
4VI-VITBOLTJ38X312,"3/8-16 X 3.50'' ROUND BEND J-BOLT ZINC 1018
C=.62''      D=.87''      L=3.50''      T=2.00''",4JBR
4VI-VITBOLTJ38X334SS,"3/8-16 X 3.75'' ROUND BEND J-BOLT PLAIN STAINLESS
C=.625''     L=3.75''     T=2.00''     D=.875",4JBR
4VI-VITBOLTJ38X4,"3/8-16 X 4.00'' RD BEND J-BOLT ZINC 1018
C=.62''      D=.87''      L=4.00''      T=2.00''",4JBR
4VI-VITBOLTJ38X4SS,"3/8-16 X 4.00'' ROUND BEND J-BOLT PLAIN STAINLESS
C=.625''     L=4.00''     T=2.00''     D=.875",4JBR
4VI-VITBOLTJ38X5,"3/8-16 X 5.00 RD BEND J-BOLT ZINC 1018
C=.62      D=.87      L=5.00      T=2.00",4JBR
4VI-VITBOLTJ38X5SS,"3/8-16 X 5.00'' ROUND BEND J-BOLT PLAIN STAINLESS
C=.625''     L=5.00''     T=2.00''     D=.875",4JBR
4VI-VITBOLTJ38X6SS,"3/8-16 X 6.00'' ROUND BEND J-BOLT PLAIN STAINLESS
C=.625''     L=6.00''     T=2.00''     D=.875",4JBR
4VI-VITBOLTJ38X7SS,"3/8-16 X 7.00'' ROUND BEND J-BOLT PLAIN STAINLESS
C=.625''     L=7.00''     T=2.00''     D=.875",4JBR
4VI-VITBOLTSSU,5/16-18 x 1 3/4'' ROUND BEND U-BOLT STAINLESS STEEL    C=1.00''     L=1 3/4''    T=1.00'',4UBR
4VO-ACME07507450B5,3/4-6 x 74 1/2'' DOUBLE END ACME THREADED ROD PLAIN 1018    T=2 1/2''    T=2 1/2'',4ACME
4VO-SES125C00975BH,1-1/4-7 x 9-3/4'' LEFT HAND SINGLE END STUD PLAIN A36    T=7-3/4'',4SES
4VR-COUPLING-NUT,"5/8 - 11 X 2 1/8 COUPLING NUT ZINC GRADE 2, AHC2Z0625CU",4FAST
4VR-T6-LPE-RED-CAPLUGS,RED CAPLUG INSERT 034601 HB,4FAST
4WA-FUB38134SQ,"3/8-16 X 1.75'' SQUARE BEND U-BOLT  ZINC  C1018
C=2.12'' (I.D.)        L=1.75'' (I.D.)        T=1.00''       R= .187

**QUOTED TOL. -- +/- .060**

**PER PRINT**",4UBS
