410180890144,.890 CR 1018 (1'' COIL) X 12' ROUND,4MAT
410180893144,.893 CR 1018 (1-5 ACME 4G ) X 12' ROUND .8960 -.8895,4MAT
410180906144,.906 CR 1018 (1-4 STUB ACME) X 12' ROUND .900-.913,4MAT
410180915058,".912 X 58.00'' C1018 Round +.000/-.003
L=58.00'' +/-.125",4MAT
410180915144,.915 CR 1018 (1-8) X 12' ROUND .912-.915,4MAT
410180915240,.915 CR 1018 (1-8) X 20' ROUND .912-.915,4MAT
410180937144HEX,15/16'' x 12' 1018 HEX BAR,4MAT
410180950144,.950 CR 1018 (1-14) X 12' ROUND .948-.951,4MAT
410181000096,1'' CR 1018 X 8',4MAT
410181000144,1'' CR 1018 X 12',4MAT
410181000150,1.008 CR 1018 X 150'',4MAT
4101810001500FLT,1 x 1 1/2 x 12' 1018 FLAT BAR,4MAT
410181000240,1'' CR 1018 X 20',4MAT
410181028136,1.032 CR 1018 (1 1/8-7) X 11'-4'' ROUND 1.024-1.030,4MAT
410181028240,1.032 CR 1018 (1 1/8-7) X 20' ROUND 1.024-1.030,4MAT
410181032144,1.032 CR 1018 (1 1/8-7) X 12' ROUND 1.024-1.030,4MAT
41018106144HEX,1 1/16 X 12' C1018 HEX,4MAT
410181062240,1 1/16 CR 1018 20'-0'',4MAT
4101811250108,1-1/8'' CR 1018 X 9'    (1-1/4-5),4MAT
4101811250120,1-1/8'' CR 1018 X 10'    (1-1/4-5),4MAT
410181125096,1-1/8'' CR 1018 X 8'    (1-1/4-5),4MAT
410181125144,1-1/8'' CR 1018 X 12'    (1-1/4-5),4MAT
410181125240,1-1/8'' CR 1018 X 20',4MAT
410181150144,1.150 CR 1018 (1 1/4-7) X 12' ROUND 1.149-1.152,4MAT
410181150240,1.150 CR 1018 (1 1/4-7) X 20' ROUND 1.149-1.152,4MAT
410181150288,1.150 CR 1018 (1 1/4-7) X 24' ROUND 1.149-1.152,4MAT
410181204144,1.204 CR1018 (1 1/4-16) X 12' ROUND,4MAT
410181230144,1.230 CR 1018 (1 3/8-4 ACME) X 12' C1018 ROUND1.220-1.235,4MAT
410181250144,1 1/4 CR 1018 X 12' ROUND,4MAT
410181250240,1 1/4 CR 1018 X 20' ROUND,4MAT
410181250300,1 1/4 CR 1018 X 25' ROUND,4MAT
41018125144HEX,1 1/4 X 12' C1018 HEX BAR,4MAT
410181355120,1.355 CR 1018 (1 1/2-4 ACME) X 10' ROUND 1.352-1.356,4MAT
410181355144,1.355 CR 1018 (1 1/2-4 ACME) X 12' ROUND 1.345-1.360,4MAT
410181355160,1.355 CR1018 (1 1/2-4 ACME)  X 13'4'' ROUND  1.345-1.360,4MAT
410181355180,1.355 CR 1018 (1 1/2-4 ACME) X 15' ROUND 1.345-1.360,4MAT
41018137144HEX,1 3/8 x 12' HEX BAR C1018,4MAT
41018137240,1 3/8 X 20' CR 1018,
410181385240,1.385 X 20' C1018 (1 1/2-6 UNC) ROUND,4MAT
410181500240,1 1/2'' CR1018 X 20' ROUND (1 1/2-6),4MAT
410181600144,1.60 CR 1018 (1 3/4-4  ACME) X 12' ROUND 1.60,4MAT
41018160144,1.60 X 12' C1018 ROUND (1 3/4 ACME) 1.598 - 1.605,4MAT
41018162144,1 5/8'' CR 1018 x 12' ROUND,4MAT
41018162240,1 5/8'' CR 1018 X 20' ROUND   (1.625'' - 5-1/2),4MAT
410181750240,1 3/4'' CR1018 X 20' ROUND (1 3/4-5),4MAT
41018184144,1.847 CR1018 (2-4 ACME) X 12' ROUND,4MAT
41018185144,1.852 ROUND CR1018 (2-4) x 12'  ( 1.854 - 1.850 ),4MAT
410181870240,1 7/8'' CR1018 X 20' ROUND (1 7/8-5),4MAT
410181X1144SQ,1 X 1 X 12' 1018 SQUARE,4MAT
410182000240,2'' CR 1018 x 20' ROUND   (2.00'' - 4-1/2),4MAT
410182090240,2.09'' ROUND CR 1018 x 20'   ( 2.101 - 2.099 ),4MAT
410182250144HEX,2 1/4'' x 12' HEXAGON COLD FINISH 1018/1215,4MAT
410182250240,2 1/4'' CR 1018 x 20' ROUND   (2.25'' - 4-1/2),4MAT
41018235144,2.352 ROUND CR1018 (2 1/2-4) X 144'' (2.354 - 2.350),4MAT
410182500240,2 1/2'' CR 1018 x 20' ROUND   (2 1/2 - 4p),4MAT
410182730144,2.73 C1018 X 144.00'' +.000/-.010,4MAT
410182750144HEX,2 3/4 X 12' COLD FINISH HEXAGON BAR 1018,4MAT
41018-2750144HEX,2 3/4 X 12' HEX BAR C1018,4MAT
410182750240,2 3/4 CR1018 X 20' ROUND,4MAT
41018285144,2.85 CR 1018 X 144'',4MAT
410182870240,2 7/8'' CR 1018 x 20' ROUND,4MAT
410183000240,3.00'' x 240'' C1018 Round,4MAT
410183500144,3.50'' x 144'' C1018 Round,4MAT
410183500240,3.50'' x 240'' C1018 Round,4MAT
410184000144,4.00'' x 144'' C1018 Round,4MAT
410220375DRAW,3/8 HR 1022 ( 3/8-16/24 ) COIL .386-389,4MAT
410220665240,.665 CR 1022 (3/4-COIL) X 20' ROUND,4MAT
410220680240,.680 CR1022 (3/4-10) X 20' ROUND .679-.682,4MAT
410250643216,.643 CR 1025 (3/4-6 ACME) X 9' ROUND .643-.656,4MAT
410290906144,.906 CR 1029 (1-4 STUB ACME) X 12' ROUND .900-.913,4MAT
410350581144,.581 (5/8-18UNF) 1035 ROUND STEEL 12'-0'',4MAT
410350680144,.680 CR 1035 (3/4-10) X 12' ROUND,4MAT
410350680240,".680 CR 1035 (3/4-10) X 20' ROUND Tol=0.680+.000/-.003
Must Meet Min 87,000 Tensile KSI",4MAT
410350885216,.885 CR 1035 (1-5 ACME) X 18' ROUND,4MAT
41035M0680240,".682 CR 1035 (3/4-10) X 20' ROUND  
122,000 Tensile KSI 112,00 Yield KSI",4MAT
410380328060,.328 C1038 X 60.00'' +.000/-.003,4MAT
410380328072,.328 C1038 X 72.00'' +.000/-.003,4MAT
410380375DRAW,.375 HR 1038 (3/8-16/24) X COIL,4MAT
410450375240,.375 CR1045 X 20' ROUND,4MAT
410450445144,".445 CR 1045 (1/2 COIL) X 12' ROUND .444-.447
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450445240,.445 CR 1045 (1/2 COIL) x 20' ROUND .444-.447,4MAT
410450500240,1/2'' X 240'' CR 1045 ROUND,4MAT
4104505060120PLATE,1/2 x 60'' x 120'' A572 Grade 50 Plate,4MAT
410450550144,".550 C1045 X 12' (5/8-5P Coil) .550 +.000/-.003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450560144,".560 X 12' CD 1045 ROUND (4-1/2P COIL)  .560-564
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450584144,.584 X 12' CD 1045 ROUND .584-.586 W/BOX,4MAT
410450625240,.625 CR 1045 X 20' ROUND,4MAT
410450665144,".665 CR 1045 (3/4 COIL) X 12' ROUND .664-.667
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450665180,".665 CR 1045 (3/4 COIL) X 15' ROUND
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450665240,".665 CR 1045 (3/4 COIL) X 20' ROUND
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450665240FSI,".665 CR 1045 (3/4 COIL) X 20' ROUND
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450665256,.665 CR 1045 (3/4 COIL) X 256'' ROUND,4MAT
410450665360,".665 CR 1045 (3/4 COIL) X 30' ROUND
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450680144,.680 CR 1045 (3/4-10) X 12' ROUND,4MAT
410450680240,.680 CR 1045 (3/4-10) X 20' ROUND,4MAT
410450680240SR,.680 CR 1045 (3/4-10) X 20' STRESS RELIEVED ROUND,4MAT
410450750240,3/4'' X 20' C1045 ROUND,4MAT
410450750288,3/4'' x 24' C1045 ROUND,4MAT
410450785144,".785 CR 1045 (7/8 COIL) X 12' ROUND .780-.785
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450800235,.800 CR 1045 (7/8-9) X 235'' ROUND .796-.800,4MAT
410450800240,.800 CR 1045 (7/8-9) X 20' ROUND,4MAT
410450875240,7/8 X 20' CR 1045 ROUND,4MAT
410450885240,.885 CR 1045 (1'' ACME)  X  12' ROUND,4MAT
410450890144,".890 CR 1045 (1'' COIL) X 12' ROUND +000/-003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450890180,".890 CR 1045 (1'' COIL) X 15' ROUND +000/-003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450890240,".890 CR 1045 (1'' COIL)  X  20' ROUND +.000/-.003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450890288,".890 CR 1045 (1'' COIL)  X  24' ROUND +.000/-.003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450890360,".890 CR 1045 (1'' COIL)  X  30' ROUND +.000/-.003
Must Meet 92,000 ksi Yield and 120,000 ksi Tensile",4MAT
410450915144,.915 CR 1045 (1-8) X 12' ROUND,4MAT
410450915240,.915 CR 1045 (1-8) X 20'  ROUND,4MAT
410450915240SR,.915 CR 1045 (1''-8) X 20' STRESS RELIEVED ROUND .912-.915,4MAT
41045100240,1'' CR 1045 (1-8) X 20' ROUND,4MAT
